expected test suites for the migration smoke evidence

This file is the PAIRING CONTRACT.  smoke-checks.sh reads it and refuses to
report a capture complete when a suite listed here is missing from the capture
directory it just wrote.  It is generated by install-surefire-evidence.sh
--manifest from the two installed archives, never edited by hand: a hand-edited
contract can be made to agree with whatever happens to be on disk, which is the
opposite of a contract.

Each row is  <sides>  <module>/TEST-<fully.qualified.Class>.xml  where <sides>
is BOTH, BASELINE-ONLY or MIGRATED-ONLY.  A row that is not BOTH is an unpaired
suite: the migration cannot be shown to have preserved its behaviour, because
there is nothing to compare on one side.  Unpaired rows are listed rather than
dropped, so the gap is a named, countable fact instead of a silent absence.

suites-in-both: 278
BOTH           acm-service-configuration/TEST-com.armedia.acm.configuration.ListOfValuesServiceTest.xml
BOTH           acm-service-correspondence/TEST-com.armedia.acm.correspondence.service.CorrespondenceGeneratorTest.xml
BOTH           acm-service-correspondence/TEST-com.armedia.acm.correspondence.service.HTMLEscapeTest.xml
BOTH           acm-service-correspondence/TEST-com.armedia.acm.correspondence.service.ParagraphRunPoiWordGeneratorFixParagraphRunsTest.xml
BOTH           acm-service-costsheet/TEST-com.armedia.acm.services.costsheet.service.CostsheetServiceTest.xml
BOTH           acm-service-costsheet/TEST-com.armedia.acm.services.costsheet.web.GetCostsheetAPIControllerTest.xml
BOTH           acm-service-costsheet/TEST-com.armedia.acm.services.costsheet.web.GetCostsheetsAPIControllerTest.xml
BOTH           acm-service-costsheet/TEST-com.armedia.acm.services.costsheet.web.GetCostsheetsForObjectIdAndTypeAPIControllerTest.xml
BOTH           acm-service-costsheet/TEST-com.armedia.acm.services.costsheet.web.GetCostsheetsForUserAPIControllerTest.xml
BOTH           acm-service-costsheet/TEST-com.armedia.acm.services.costsheet.web.SaveCostheetAPIControllerTest.xml
BOTH           acm-service-data-access-control/TEST-com.armedia.acm.services.dataaccess.model.test.DecoratedParticipantAnnotationTest.xml
BOTH           acm-service-data-access-control/TEST-com.armedia.acm.services.dataaccess.service.impl.AccessControlRuleCheckerImplTest.xml
BOTH           acm-service-data-access-control/TEST-com.armedia.acm.services.dataaccess.service.impl.AcmPrivilegeServiceTest.xml
BOTH           acm-service-data-update/TEST-com.armedia.acm.services.dataupdate.executors.DocumentRepositoryParticipantTypesUpdateExecutorTest.xml
BOTH           acm-service-data-update/TEST-com.armedia.acm.services.dataupdate.service.OutlookFolderCreatorPasswordMd5ToSha256UpdateExecutorTest.xml
BOTH           acm-service-ecm/TEST-com.armedia.acm.plugins.ecm.model.EcmFileJsonSchemaValidTest.xml
BOTH           acm-service-ecm/TEST-com.armedia.acm.plugins.ecm.service.EcmFileToSolrTransformerTest.xml
BOTH           acm-service-ecm/TEST-com.armedia.acm.plugins.ecm.service.impl.AcmFolderServiceImplTest.xml
BOTH           acm-service-ecm/TEST-com.armedia.acm.plugins.ecm.service.impl.EcmFileParticipantServiceTest.xml
BOTH           acm-service-ecm/TEST-com.armedia.acm.plugins.ecm.service.impl.EcmFileServiceImplTest.xml
BOTH           acm-service-ecm/TEST-com.armedia.acm.plugins.ecm.service.impl.EmailAttachmentExtractorComponentTest.xml
BOTH           acm-service-ecm/TEST-com.armedia.acm.plugins.ecm.service.impl.PageCountServiceImplTest.xml
BOTH           acm-service-ecm/TEST-com.armedia.acm.plugins.ecm.service.impl.RecycleBinItemServiceImplTest.xml
BOTH           acm-service-ecm/TEST-com.armedia.acm.plugins.ecm.service.lock.FileLockingProviderTest.xml
BOTH           acm-service-ecm/TEST-com.armedia.acm.plugins.ecm.service.sync.AlfrescoCopyServiceCopyAuditResponseReaderTest.xml
BOTH           acm-service-ecm/TEST-com.armedia.acm.plugins.ecm.service.sync.AlfrescoFileFolderServiceCreateAuditResponseReaderTest.xml
BOTH           acm-service-ecm/TEST-com.armedia.acm.plugins.ecm.service.sync.AlfrescoFileFolderServiceMoveAuditResponseReaderTest.xml
BOTH           acm-service-ecm/TEST-com.armedia.acm.plugins.ecm.service.sync.AlfrescoFileFolderServiceRenameAuditResponseReaderTest.xml
BOTH           acm-service-ecm/TEST-com.armedia.acm.plugins.ecm.service.sync.AlfrescoNodeServiceCreateNodeAuditResponseReaderTest.xml
BOTH           acm-service-ecm/TEST-com.armedia.acm.plugins.ecm.service.sync.AlfrescoNodeServiceDeleteNodeAuditResponseReaderTest.xml
BOTH           acm-service-ecm/TEST-com.armedia.acm.plugins.ecm.service.sync.AlfrescoNodeServiceUpdateMetadataAuditResponseReaderTest.xml
BOTH           acm-service-ecm/TEST-com.armedia.acm.plugins.ecm.service.sync.AlfrescoSyncScheduledBeanTest.xml
BOTH           acm-service-ecm/TEST-com.armedia.acm.plugins.ecm.service.sync.impl.AlfrescoSyncServiceTest.xml
BOTH           acm-service-ecm/TEST-com.armedia.acm.plugins.ecm.service.sync.impl.EcmFileCreatedEventHandlerTest.xml
BOTH           acm-service-ecm/TEST-com.armedia.acm.plugins.ecm.service.sync.impl.EcmFileFolderCopiedEventHandlerTest.xml
BOTH           acm-service-ecm/TEST-com.armedia.acm.plugins.ecm.service.sync.impl.EcmFileFolderMovedEventHandlerTest.xml
BOTH           acm-service-ecm/TEST-com.armedia.acm.plugins.ecm.service.sync.impl.EcmFolderCreatedEventHandlerTest.xml
BOTH           acm-service-ecm/TEST-com.armedia.acm.plugins.ecm.service.sync.impl.EcmNodeDeletedEventHandlerTest.xml
BOTH           acm-service-ecm/TEST-com.armedia.acm.plugins.ecm.utils.FolderAndFilesUtilsTest.xml
BOTH           acm-service-ecm/TEST-com.armedia.acm.plugins.ecm.web.api.EcmFileParticipantsAPIControllerTest.xml
BOTH           acm-service-ecm/TEST-com.armedia.acm.plugins.ecm.web.api.FileDownloadAPIControllerTest.xml
BOTH           acm-service-ecm/TEST-com.armedia.acm.plugins.ecm.web.api.FolderDocumentCountAPIControllerTest.xml
BOTH           acm-service-ecm/TEST-com.armedia.acm.plugins.ecm.web.api.GetTotalPageCountAPIControllerTest.xml
BOTH           acm-service-ecm/TEST-com.armedia.acm.plugins.ecm.web.api.ListFileFolderByCategoryAPIControllerTest.xml
BOTH           acm-service-ecm/TEST-com.armedia.acm.plugins.ecm.web.api.UpdateFileMetadataAPIControllerTest.xml
BOTH           acm-service-ecm/TEST-com.armedia.acm.plugins.ecm.web.api.UpdateFileTypeAPIControllerTest.xml
BOTH           acm-service-ecm/TEST-com.armedia.acm.plugins.ecm.web.api.UploadTempFilesAPIControllerTest.xml
BOTH           acm-service-electronic-signature/TEST-com.armedia.acm.services.signature.web.api.FindSignaturesByTypeByIdAPIControllerTest.xml
BOTH           acm-service-electronic-signature/TEST-com.armedia.acm.services.signature.web.api.SignatureAPIControllerTest.xml
BOTH           acm-service-email-smtp/TEST-com.armedia.acm.services.email.smtp.SmtpServiceTest.xml
BOTH           acm-service-email/TEST-com.armedia.acm.services.email.AcmObjectPatternMailFilterTest.xml
BOTH           acm-service-email/TEST-com.armedia.acm.services.email.config.web.api.AcmMailTemplateConfigurationServiceAPIControllerTest.xml
BOTH           acm-service-email/TEST-com.armedia.acm.services.email.service.AcmEmailContentGeneratorServiceTest.xml
BOTH           acm-service-email/TEST-com.armedia.acm.services.email.service.AcmFilesystemMailTemplateConfigurationServiceTest.xml
BOTH           acm-service-email/TEST-com.armedia.acm.services.email.service.AcmProcessMailServiceTest.xml
BOTH           acm-service-form-configuration/TEST-com.armedia.acm.frevvo.config.FrevvoFormAbstractServiceTest.xml
BOTH           acm-service-functional-access-control/TEST-com.armedia.acm.services.functionalaccess.web.api.FunctionalAccessServiceTest.xml
BOTH           acm-service-functional-access-control/TEST-com.armedia.acm.services.functionalaccess.web.api.GetApplicationRolesAPIControllerTest.xml
BOTH           acm-service-functional-access-control/TEST-com.armedia.acm.services.functionalaccess.web.api.GetApplicationRolesToGroupsAPIControllerTest.xml
BOTH           acm-service-functional-access-control/TEST-com.armedia.acm.services.functionalaccess.web.api.GetUsersByPrivilegeAndGroupAPIControllerTest.xml
BOTH           acm-service-functional-access-control/TEST-com.armedia.acm.services.functionalaccess.web.api.SaveApplicationRolesToGroupsAPIControllerTest.xml
BOTH           acm-service-holiday/TEST-com.armedia.acm.services.holiday.service.HolidayConfigurationServiceTest.xml
BOTH           acm-service-login/TEST-com.armedia.acm.auth.AcmAuthenticationDetailsFactoryTest.xml
BOTH           acm-service-login/TEST-com.armedia.acm.auth.AcmAuthenticationManagerTest.xml
BOTH           acm-service-login/TEST-com.armedia.acm.auth.AcmGrantedAuthoritiesMapperTest.xml
BOTH           acm-service-login/TEST-com.armedia.acm.auth.AcmLoginSuccessOperationsTest.xml
BOTH           acm-service-login/TEST-com.armedia.acm.auth.okta.services.impl.FactorLifecycleServiceImplTest.xml
BOTH           acm-service-login/TEST-com.armedia.acm.auth.okta.services.impl.FactorServiceImplTest.xml
BOTH           acm-service-login/TEST-com.armedia.acm.auth.okta.web.api.FactorEnrollmentAPIControllerTest.xml
BOTH           acm-service-ms-outlook-integration/TEST-com.armedia.acm.service.outlook.service.impl.OutlookRecreatableCalendarServiceImplTest.xml
BOTH           acm-service-note/TEST-com.armedia.acm.services.note.web.api.DeleteNoteByIdAPIControllerTest.xml
BOTH           acm-service-note/TEST-com.armedia.acm.services.note.web.api.ListAllNotesAPIControllerTest.xml
BOTH           acm-service-note/TEST-com.armedia.acm.services.note.web.api.SaveNoteAPIControllerTest.xml
BOTH           acm-service-notification/TEST-com.armedia.acm.services.notification.service.MicrosoftExchangeNotificationSenderTest.xml
BOTH           acm-service-notification/TEST-com.armedia.acm.services.notification.service.NotificationFormatterTest.xml
BOTH           acm-service-notification/TEST-com.armedia.acm.services.notification.service.NotificationServiceTest.xml
BOTH           acm-service-notification/TEST-com.armedia.acm.services.notification.service.NotificationTransformerTest.xml
BOTH           acm-service-notification/TEST-com.armedia.acm.services.notification.service.NotificationUtilsTest.xml
BOTH           acm-service-notification/TEST-com.armedia.acm.services.notification.service.SmtpNotificationSenderTest.xml
BOTH           acm-service-notification/TEST-com.armedia.acm.services.notification.service.TemplatingEngineTest.xml
BOTH           acm-service-notification/TEST-com.armedia.acm.services.notification.web.api.DeleteNotificationByIdAPIControllerTest.xml
BOTH           acm-service-notification/TEST-com.armedia.acm.services.notification.web.api.ListAllNotificationsAPIControllerTest.xml
BOTH           acm-service-notification/TEST-com.armedia.acm.services.notification.web.api.SaveNotificationAPIControllerTest.xml
BOTH           acm-service-object-history/TEST-com.armedia.acm.service.objecthistory.service.AcmObjectHistoryServiceImplTest.xml
BOTH           acm-service-object-lock/TEST-com.armedia.acm.service.objectlock.service.AcmObjectLockServiceImplTest.xml
BOTH           acm-service-object-lock/TEST-com.armedia.acm.service.objectlock.transformer.AcmObjectLockToSolrTransformerTest.xml
BOTH           acm-service-ocr/TEST-com.armedia.acm.services.ocr.job.OCRQueueJobTest.xml
BOTH           acm-service-ocr/TEST-com.armedia.acm.services.ocr.rules.OCRBusinessProcessRulesTest.xml
BOTH           acm-service-ocr/TEST-com.armedia.acm.services.ocr.rules.OCRRulesTest.xml
BOTH           acm-service-ocr/TEST-com.armedia.acm.services.ocr.service.ArkCaseOCRServiceTest.xml
BOTH           acm-service-ocr/TEST-com.armedia.acm.services.ocr.service.ArkCaseOcrConfigurationTest.xml
BOTH           acm-service-plugin-manager/TEST-com.armedia.acm.pluginmanager.model.AcmPluginUrlPrivilegeTest.xml
BOTH           acm-service-plugin-manager/TEST-com.armedia.acm.pluginmanager.service.AcmPluginManagerTest.xml
BOTH           acm-service-plugin-manager/TEST-com.armedia.acm.pluginmanager.web.AcmPluginRoleBasedAccessInterceptorTest.xml
BOTH           acm-service-search/TEST-com.armedia.acm.services.search.model.solr.SolrContentDocumentTest.xml
BOTH           acm-service-search/TEST-com.armedia.acm.services.search.service.FacetedSearchServiceTest.xml
BOTH           acm-service-search/TEST-com.armedia.acm.services.search.service.JpaObjectsToSearchServiceTest.xml
BOTH           acm-service-search/TEST-com.armedia.acm.services.search.util.AcmSolrUtilTest.xml
BOTH           acm-service-search/TEST-com.armedia.acm.services.search.web.api.PersonSearchByNameAndContactMethodAPIControllerTest.xml
BOTH           acm-service-search/TEST-com.armedia.acm.services.search.web.api.SearchChildrenAPIControllerTest.xml
BOTH           acm-service-search/TEST-com.armedia.acm.services.search.web.api.SearchObjectByTypeAPIControllerTest.xml
BOTH           acm-service-search/TEST-com.armedia.acm.services.search.web.api.SearchUsersAPIControllerTest.xml
BOTH           acm-service-state-of-arkcase/TEST-com.armedia.acm.service.stateofarkcase.service.StateOfArkcaseReportGeneratorTest.xml
BOTH           acm-service-subscription/TEST-com.armedia.acm.services.subscription.web.api.CreateSubscriptionAPIControllerTest.xml
BOTH           acm-service-subscription/TEST-com.armedia.acm.services.subscription.web.api.GetUserSubscriptionAPIControllerTest.xml
BOTH           acm-service-subscription/TEST-com.armedia.acm.services.subscription.web.api.ListSubscriptionByUserAPIControllerTest.xml
BOTH           acm-service-subscription/TEST-com.armedia.acm.services.subscription.web.api.RemovingSubscriptionAPIControllerTest.xml
BOTH           acm-service-timesheet/TEST-com.armedi.acm.services.timesheet.service.TimesheetServiceTest.xml
BOTH           acm-service-timesheet/TEST-com.armedi.acm.services.timesheet.web.GetTimesheetAPIControllerTest.xml
BOTH           acm-service-timesheet/TEST-com.armedi.acm.services.timesheet.web.GetTimesheetsAPIControllerTest.xml
BOTH           acm-service-timesheet/TEST-com.armedi.acm.services.timesheet.web.GetTimesheetsForObjectIdAndTypeAPIControllerTest.xml
BOTH           acm-service-timesheet/TEST-com.armedi.acm.services.timesheet.web.GetTimesheetsForUserAPIControllerTest.xml
BOTH           acm-service-timesheet/TEST-com.armedi.acm.services.timesheet.web.SaveTimesheetAPIControllerTest.xml
BOTH           acm-service-transcribe/TEST-com.armedia.acm.services.job.TranscribeQueueJobTest.xml
BOTH           acm-service-transcribe/TEST-com.armedia.acm.services.rules.TranscribeBusinessProcessRulesTest.xml
